"Name","Team","Pos","GP","G","A","P","+/-","PIM","PPP","SHp","Ht","GA","TA","SOG","S%","SB","ATOI","APPT","APKT","FO%"
"Denton Mateychuk","Senators","LD",20,2,0,2,-13,16,1,0,9,10,0,42,"5",12,"14:45","0:53","0:15","0"
"Logan Shaw","Red Wings","RW",13,1,1,2,-2,6,0,0,14,3,3,17,"6",28,"13:23","0:00","2:03","0"
"Jan Knight","Binghamton","LD",13,0,2,2,-11,6,0,0,14,8,5,19,"0",6,"12:23","0:00","0:01","0"
"Kevin Korchinski","Rangers","LD",34,0,2,2,-2,8,0,0,35,5,8,39,"0",35,"12:58","0:00","0:07","0"
"Milan Funk","Lightning","LD/RD",15,0,2,2,-6,8,0,0,30,3,7,8,"0",19,"14:59","0:06","1:44","0"
"James Dean Ste-Marie","Wild","RD",35,0,2,2,-18,12,2,0,44,15,16,39,"0",67,"16:13","0:25","2:05","0"
"Valentin Durand","Sabres","RD",21,0,2,2,-4,14,0,0,31,13,11,20,"0",36,"15:41","0:00","1:35","0"
"Artemi Knyazev","Oilers","LD",33,0,2,2,-14,18,0,0,46,12,17,39,"0",23,"12:47","0:00","0:06","0"
"Kasperi Kapanen","Hurricanes","RW/LW",7,1,0,1,0,0,0,0,8,3,0,6,"17",7,"12:41","0:00","0:02","0"
"Philipp Kurashev","Coyotes","C",14,0,1,1,-4,0,0,0,19,3,0,11,"0",3,"11:34","0:00","0:00","46"
"Libor Zabransky","Bruins","RD/LD",5,0,1,1,0,2,0,0,7,1,2,2,"0",3,"15:00","0:00","0:58","0"
"Ryan Lindgren","Red Wings","LD",13,0,1,1,-6,8,0,0,17,7,11,12,"0",24,"14:55","0:00","2:13","0"
"Jett Woo","Lightning","RD",17,0,1,1,-7,21,0,0,28,6,15,15,"0",26,"14:59","0:00","2:14","0"
"Jaden Sinfield","Blackhawks","RD/LD",7,0,0,0,-2,0,0,0,19,3,4,5,"0",6,"15:53","0:00","1:51","0"
"Jock Low","Texas","LW",11,0,0,0,-4,0,0,0,14,0,2,6,"0",11,"12:11","0:00","1:38","0"
"Yohan Sauro","Chicago","LD/RD",6,0,0,0,-3,2,0,0,15,3,1,4,"0",6,"21:50","0:03","0:44","0"
"Filip Johansson","Sabres","RD",14,0,0,0,-8,2,0,0,18,8,18,15,"0",29,"16:21","0:00","2:25","0"
"Jordy Coleman","Syracuse","C",14,0,0,0,-10,10,0,0,23,4,8,13,"0",7,"11:14","0:00","0:00","23"
